,sentiment,clean_review_sentence
56,1,effort make film interesting entertaining different way
57,1,played traditional character dosta hindi film well
58,0,plot film complicated complicated
59,1,film toilet ek prem katha definitely honest effort
60,1,amazing chemistry shahid genelia
61,0,could use either language hindi english scene
62,1,express emotion floating water
63,0,question remain film without answer
64,1,location fit story perfectly
65,1,time taken watching film seems justified
66,0,combining scene illustration closely
67,1,put spirit youth screen seriousness
68,0,day became ordinary film due complication
69,1,ayushmann khurrana parineeti chopra improved gained confidence
70,1,beautiful grand film era
71,0,problem could control performance
72,1,director film great grip camera art working new star quite similar ram gopal varma
73,1,siddharth malhotra sonakshi sinha also done justice character
74,0,fardeen becoming groom screen many previous film also seen entire film
75,1,intense selfconfidence camera outspoken
76,1,vishal bhardwaj exudes grandeur filming song film
77,0,sanjay leela bhansalis bajirao mastani le narrative element much screw incident
78,1,broaden audience
79,1,correct timing comical approach make film somewhat interesting
80,1,undoubtedly parineeti chopra ayushmalan khurana performed well
81,0,laugh romantic dramatic dialogue
82,0,zarine khan disappoints dance
83,1,second film vikram alludes simple focused director raise solid hope
84,0,silent lapse carelessness kill film remains average film
85,0,ran say anything new
86,1,pair heeran sharman joshi yuvika much frozen
87,1,leela naidus performance well discussed film also received national award
88,0,political clarity satyagraha
89,0,little work editing
90,0,context meaningless
91,1,clothes artist background property continuity continues
92,1,onscreen chemistry shahrukh kajol amazing
93,0,scene dramatic dialogue fun
94,1,gadar anil sharma proved answer action sequence
95,1,gulzar usual lyrical beauty selection word dialogue
96,1,actor play role assigned manner
97,0,option watch watch movie
98,0,jeena isi ka naam hai difficult film directed keshav panneri also increase difficulty audience
99,0,perhaps audience like much
100,1,kangana ranot miss julia get involved opening scene
101,0,acting le sexy scene come little much anjana sukhanis part
102,1,shade colored cool context
103,0,listening song background different difference start
104,1,ajay devgan increased criterion action
105,1,character film seem imposed
106,1,sameer kochhar playing role cbi inspector also managed win audience personality
107,0,characterization incomplete
108,1,shahid associated shyamak davars group proved answer dance
109,1,writerdirector nagesh kukanoor woven good bad experience journey
110,1,item song filmed shahrukh khan title song dulha mil gaya become good
111,1,get help emraan hashmi vidya balan
112,1,director portrayed wish interesting way
113,0,technical quality may also show deficiency
114,0,many place prevalent ghita pita dialog used hindi film
115,0,lack novelty originality even get adult comedy tickled
116,1,shivaay full action emotion
117,1,one read irfans expression opening unfamiliar tiffin dining hall table
118,1,young director chaubey praised choosing right character character first film director
119,1,three left stone unturned make film funny
120,1,karan johar honest subject
121,1,language film become adapted narrative due purbia bhopali accent
122,1,film earning strongly country abroad
123,1,somendra padhi beautifully portrayed character budhia biranchi
124,1,editing also sharp
125,1,bubu dominates everyone whenever come screen
126,1,john abraham varun dhawans dolesholay given great feeling adventure
127,1,well vipuls bet right
128,1,thing seems interesting distinction seen first film filmmaker
129,0,sangeet siwan click simple horror film
130,1,song really touch heart
131,0,time due fitting dozen star addition three story script scattered many place interval marriage seems unnecessarily implicated story kidnapping corpse
132,1,sonakshi sinha actress noor something new
133,1,although dialogue impressive good sense emotion meaning
134,0,miracle expected film uday chopra
135,1,shubh mangal savdhan fullness every department
136,1,look good style well
137,0,nishikant kamat acted tact film
138,1,also shown performance action
139,1,movie music add rhythm story
140,0,piyush mishras style come style rajendra nath
141,1,story experience woven sensitive way film many dramatic emotional episode played gul panag sanjay suri effectively best film gul sanjays career raj zutshi also done memorable performance jackie shroffs style also new
142,1,salman frozen role brave pindari warrior
143,1,look attractive style character
144,0,film interesting theme remain impressive due lack subsistence formation character
145,0,film would diligent sachin tendulkars personality would explored would farreaching impact
146,1,casting film tremendous
147,0,however despite thing development film made story predictable
148,0,global baba film made limited budget resource effect limit reflected throughout film
149,0,arunoday singh disappoints
150,0,overall badshaho average film
151,0,film unnecessarily long
152,1,k ravichandrans cinematography contributed significantly film
153,0,song visible
154,1,sahil vaid mentioned separately badris friend
155,1,computermade image effective bright
156,0,feel cheated coming climax
157,1,swanand kirkire vishal bhardwaj give depth film motif music
158,0,story screenplay level constraint prevent film pace flawlessness
159,0,despite hard work left
160,0,weakest part film screenplay story
161,1,music film new theme friendly
162,0,need practice acting
163,0,lack clearly seen emotional scene
164,0,despite contribution many talent songmusic modest
165,1,look song enjoyment film increase
166,1,adnan siddiquis screen presence magical
167,0,thriller level become serialized ridiculous many occasion
168,1,neil nitin mukesh also good character
169,0,story get tangled point
170,1,conversational communicate ejaculation
171,0,despite viewer see film feel cheated hundred percent
172,1,make film story impressive gesture
173,0,nothing film family class
174,0,film go live
175,1,regains rhythm second hand
176,1,already paid close attention surroundings scene
177,0,bhoomi film torn piece part fertile part barren
178,1,writerdirector also worked hard create character
179,1,watching film clear writer director knowledge journalist journalism
180,1,dancing ability vani fully utilized shayaras avatar
181,0,film sample slut scene writing
182,1,ballu salujas editing sharp
183,0,story also deviate second track
184,0,scene unnecessarily long
185,1,specialty film next scene theme predictable
186,0,everything feel forced
187,0,looseness team forging character seen confidence character also
188,0,require much brain
189,1,among new actress piya bajpai freshness doesnt seem copy anyone
190,1,film honest almost miss golden period parallel cinema
191,0,launched son jackie bhagnani film kal kisne dekha desire give footage son story twisted film remained jackies weak shoulder
192,1,film simple make direct connection general audience country
193,1,music film also good
194,0,actor including tiger shroff ineffective
195,1,done excellent job limited script
196,0,vivek oberoi left little stone avatar amjad khan
197,0,sadly film lost salman ajay devgan
198,0,continuity look also ignored
199,1,interval film becomes interesting javed rajpals strong entry
200,1,shah rukhanushkas chemistry fantastic
201,0,heroine turn twenty worked hard
202,0,would nice director played show excessive loyalty producer developing remaining character film
203,1,amitabh bachchan proven time amitabh bachchan
204,0,director omission range actor
205,0,idea film come seeing hollywood film indianization done hurried childish manner without understanding indian system
206,1,writer director created suspense
207,0,ronnie became dhruv bali raw acting
208,1,hue payment made seeing
209,0,film also lack consistency song back forth scene
210,1,bhumi pednekar also performed brilliantly
211,1,personality himansh kohli came alias friend alex attractive
212,0,match mood story
213,1,film made salman ajay devgans outstanding acting memorable
214,1,talk acting akshaye khanna take stand presence take film different level
215,0,lack time unable difficult task radcliffe raise hand
216,0,right weak dialogue completed
217,1,cinematography film spectacular
218,1,expression balanced character
219,0,question arises viewer like story bringing wanted india writerdirector dilemma weakens film
220,0,last part film weak different main story
221,0,
222,0,shortcut romeo boring film
223,1,father role justified ravi khemu
224,0,improve performance
225,0,actor supported director thinking many clumsy action
226,1,chandan impress director
227,1,filming song de talus become good
228,0,rest supporting cast seen khanapurti
229,1,indian audience find fun
230,1,set way independent life favorite people
231,1,neither song become important part story due freshness song melody music
232,0,time film scene behavior character showed clumsyness
233,0,traditional hypernaturalism disappoints scene
234,0,film slip bit important message tubelight
235,0,song song remain interruption
236,1,people aware new aspect skill role jugnu
237,0,clear screen paid halfheartedly
238,1,director unconventional casting increased film credibility
239,0,leaving aside music dim lesson leave effect
240,0,story nothing special
241,1,john abraham tried live character expectation
242,1,despite restriction script work excellent
243,1,emerged deadly mix entertainment message came front everyone
244,0,confusion seeing something new remains
245,0,due omission shortcoming many time budget resource limitation director think
246,0,film also shortcoming
247,1,given vision vijayendra prasad author visionary flight
248,1,lot clarity capable dynamic action sequence
249,1,parrot roy chaudhary resurrects naveens character
250,0,perspective second part falsehood scary experience
251,1,writer make many thing logical best way
252,1,movie song better
253,0,ram gopal varmas sarkar 3 meet expectation
254,0,able keep fact interestingly film adaptation
255,0,actually brand repeat fun
256,1,film momentum enough action
257,0,rock 2 script loose
258,0,mystery adventure built way
259,1,salman worked hard action sequence
260,1,pritams music strong
261,0,juice left formula vikram bhatt
262,1,time raised role indian working woman seriously
263,1,shashank khaitan kept amount emotion right character
264,1,whenever satish kaushik came role school principal audience somewhat taken aback
265,0,watching movie expectation dashed also regretted leaving subject well enough
266,1,lalit bahl adil hussain expressed sensation without dramatic character fatherson great artist
267,0,dalbirs struggle confined within limited range
268,0,role simran naira banerjee unable give effect
269,1,hussain dalals clever dialogue keep film pace edge
270,0,result film look scattered
271,1,brings nuance character screen
272,0,animation topnotch
273,1,rustom different kind thriller film
274,0,seems early cover everything limited budget
275,0,nothing left
276,0,film unnecessarily long
277,1,action film impressive
278,1,different movie
279,1,portray gray shade character well
280,1,beautifully woven fabric tightness change present social structure jhansi
281,1,nobody think anything except big b role
282,1,another important thing film camera constantly moving
283,1,pleasant see rajpal yadav screen long time
284,1,film produced grand way
285,1,interval karan made plight blackmajority georgia important part story
286,1,य म ग तम न क रद र क बख ब पर भ ष त क य ह 
287,0,although film able hold long time
288,1,वजन मह व र फ ग ट क र प म उनक क य तरण अलहद 
289,1,अभ न त र य म इल य न ड क र ज अपन स म त भ म क म भ प रभ व त करत ह 
290,0, मगर आस म इस एक स ध रण स फ़ ल म क ऊपर नह ल ज प ए ह 
291,0,finally feel cheated
292,1,परफ र म स ल वल पर ब त कर त रणब र कप र व स ह एक समर थ अभ न त ह 
293,1, फ ल म क श र आत श नद र ह 
294,0,third film career study emerged previous film study played role rock star overacting many scene aghyan followed role played farhan akhtar arjun rampal movie rock based similar subject would understood feeling realizing hidden dream inside easy
295,1,film lead actor tiger shroff done great dance move body also excellent
296,1, फ ल म क क र ट र म स न र यल ह 
297,1,feeling newness freshness lyric written lyricist subrata sinha film five song top five music chart long time
298,0,called weakest performance career far
299,1,beautiful trip europe film evokes different feeling love
300,0,time film may stand test audience went hall purpose entertainment
301,1,द ल क छ त स र ल म य ज क फ ल म क प लस प इ ट ह 
302,0,arbaaz khan despite long experience seen sliding scene nawaz
303,1, छ ट बड शहर और मल ट प ल क सस गल स क र न क दर शक इस पस द कर ग 
304,1,उन ह न एक ब र फ र द ख य ह क अभ नय क ल ए भ व और अभ व यक त पर न य त रण क तन जर र ह 
305,0,epilogue film fall prey dilemma
306,0,fond film also disappointed mastizaade
307,0, छ य कन स ल कर अन य तकन क म मल क कम य फ ल म क ब असर करत ह 
308,1,despite newness scene interesting due interaction actor
309,0,given much detail character
310,0,second part film look like something drawn
311,0,air screen
312,0, नत जतन फ ल म अप क ष त असर नह ड लत 
313,0,स थ ह यह एक शन स ज य द क म ड क गल य म ग म ह ज त ह 
314,1,इस तरह क फ़ ल म श यद आप घर तक स थ न ल ज प ए मगर मन र जन क प र ग र ट ह त ह 
315,0,scene get stuck middle wander interesting start
316,1, व जय हर षवर धन मल क क र ल म अम त भ बच चन छ ए ह ए ह 
317,0,इस व स त र म ध म फ ल म और ब झ ल ह ज त ह 
318,1,watching film waste time film make think
319,1,र जव न क र ल म श हर ख ब ज ड ह 
320,0,फ ल म क स थ म घ लय क म द द ढ ग स म ल नह करत 
321,0,इस वजह स पटकथ समतल नह रहत और प रव ह ट टत ह झटक लगत ह 
322,0,arshad warsi alone got responsibility pull film unable play
323,0,ल खक न फ ल म क र चक बन ए रखन क ल ए घटन ए भर द ह 
324,1, फ ल म क प क ज ग और स ग त इसक ज न ह 
325,0,laughter get face despite creativeness dialogue
326,0,sarkar 3 list ram gopal varmas failed film
327,0,प छल क छ अर स स हर च थ म ग बजट मल ट स ट रर फ ल म स प र तम क न म ज ड त ह ऐस म उनक स ग त स अब म ल ड ग यब ह न लग ह फ ल म क ग न क य प स प त मरत ह क छ ड द य ज ए त ब क सभ ग न समझ स पर ह 
328,1, उन ह न हम श ऐस फ ल म क द श य क अपन स ग त स प रभ वप र ण बन द य ह 
329,1,tried excel scope script
330,0, मगर ज स ह कह न आग बढ त ह एक र ग य लर मस ल फ़ ल म क तरह ह नज़र आत ह ब दश ह 
331,0,time vidya balan could impress presence something missing
332,0,मगर ज उनक फ न नह ह उन ह श यद यह फ़ ल म र स न आए
333,1,स व द म ध र और च ट ल पन ह 
334,0,म गल य स न कलत ह फ र भ फ स ज त ह 
335,0,फ ल म क स थ त न स ग तक र क न म ज ड ह न क ब वज द फ ल म म ऐस क ई ग न नह ज म य ज क लवर स क ज ब पर चढ न क दम रखत ह 
336,1,क ल म ल कर म ब रक एक मन र जक मस ल फ़ ल म ह 
337,0,स ट और क स ट य म म कल पन और बजट क कट त स फ ल म क प रभ व कम ह आ ह 
338,1,although nothing new say script due excellent chemistry motherson flash back entangled script managed keep audience extent due director good grip event
339,0,everyone disappoints film term acting performance
340,0,reason despite effort director ron howard film remains ordinary
341,0,hindi spoken bihari accent become joke
342,1,fantasy used wonderfully expand world future
343,1,abigail ames expressive role daughter gaura
344,1,immersion action sequence
345,1,फ़ ल म क क मर वर क और एड ट ग एकदम सट क ह 
346,0,situation feel patna missing
347,0,ellie abram hired add glamor film
348,0,hansal mehtas direction fell weak time
349,0,rest vikram bhatt repeated eroded scene horror film
350,0,यह फ ल म प र व र द ध म थ ड श थ ल पड ह 
351,0,madhur missed one case may mislead younger generation
352,0, यह अवसर फ ल म श र ह न क च द म नट क अ दर ह ब खर गय 
353,0,big difference speech speech
354,0,also language character given special attention
355,1,श ट क क रद र म व क र त म स प रभ व त करत ह 
356,0,led making highquality thriller
357,1,failed effort
358,0,उनक क रद र क सह पर प र क ष य नह म ल ह उनक चर त र क न र व ह म ढ ल पन ह 
359,1,र झण क ल खक ह म श शर म क अत र क त धन यव द
360,1, ज ल म द र क र प म ल जव ब रह ह 
361,0,film business tycoon amrit chopra rajesh khanna appeared screen beautiful wife bina sara khan every time film kakas acting weak dialogue delivery seems like want film surprisingly kakas lip closed many scene film voice heard
362,1,director shivam nair done justice script given
363,0,film reach end slow motion
364,0,अभ क समय क च त रण म वह क शल नह द ख ह 
365,0, 31 अक ट बर द खत ह ए तकल फ ह त ह क एक जर र फ ल म सर क र जल दब ज और स स धन क कम क श क र ह गई
366,0,lack tightness dialogue visuals missing context
367,0,except film nothing nisha kothari taking bath clothes goa
368,1,pritams music awesome
369,1, उनक म ज दग स ऊर ज क स च र ह त ह 
370,1,background score help camera aerial shot enhanced
371,1,three character well crafted
372,1,along queen gayatri devi leela naidu also placed vogue magazine list ten beautiful woman world
373,0,seen plight art 
374,0,र मग प ल वर म सभ क रद र क ल कर र चक ड र म ब नन म च कत ह 
375,0,स व द और प रभ वश ल और प र यडप र यड ह ज त 
376,1,उन ह न भ रतप क स त न क आरप र र चक कह न ब न ह 
377,0,स क र न पर अपन ज य द स ज य द स रत द ख न क च ह म क ई प रड य सर कह न क सत य न श कर सकत ह 
378,0,despite name like javed akhtar pritam film song music average barring fardeen genelia artist attracted
379,1,music film strong side story
380,1,naivety innocence people small town well etched
381,0,beautiful fame shri ram raghavan missed case
382,0,watching maneesh tiwaris isak even leaving one cannot remember main theme purpose film
383,1,munna michael good package entertainment
384,0,essential element indian film emotion film lack emotion
385,1,bryce talpade fit role cameraman
386,1,except bryce everyone else filled role
387,1,akshay kumars character successful styling
388,0,would good director would hold workshop day shoot film cast cameraman interval story move slowly audience sitting hall start feeling boredom
389,0,slow screenplay overly complicated story make bored
390,0,writerdirector must created two four tight scene like average film
391,0,acting affected weakness character formation
392,0,reason reason taken care elsewhere
393,1,watching film also background music memorable moment impact attachment deepens
394,1,kind artificiality realized looking chained
395,1,despite predictable story created screenplay engages audience
396,1,zaira wasim completely overshadows character insia
397,1,akira also full action
398,0,film flow break
399,1,brought decentgentleman viciousdevil inside
400,1,bal milkha turned artist prepared proper ground
401,1,agility film action sequence made spot
402,0,till rest character look cool end
403,0,director writer deliberately forcefully want immerse audience sea emotion feeling remains constant till interval
404,0,possibility improvement sophistication
405,0,something missing
406,1,background rajasthan well used
407,0,lord hears prayer come fulfill dream form dubey saurabh shukla story wanders due weak script light grip director film bind audience anywhere
408,1,give relief hot weather
409,1, क व इरस प र तरह स मन ष प ल क फ ल म ह और फ ल म म उनक इम ज क ह स ब स ह द श य और स थ त य रच गई थ 
410,1,merit winning next national award
411,0,limex could made effective
412,0,missing
413,1,capture slum life camera beat
414,1,aadhaas excellent remarkable film according story issue
415,0,director amit saxenas body many time better
416,0,rest cast make
417,1,ghazi attack writerdirector take commendable caution
418,0,firsthalf pulled bit
419,1,tabu acting appropriate film
420,1,great acting siddharth ankur viral
421,0,tsal seth ayub khan weakest link film
422,1,chemistry appears screen
423,0,फ़ ल म क स क र नप ल बह त ह अच छ ल ख गय ह और कह न भ मन र जक ह 
424,0,character properly coined
425,0,त र स र र क पटकथ कस ह ई ह 
426,1,event action believable imagination
427,1,varun alia create extra attraction together screen
428,1,cast improvisation part film significant
429,0,कह न ध म गत स आग बढ़त ह और फ र क छ द श य म अटक ज त ह 
430,0,child watch film better
431,0,film get entangled interval
432,1, म प र य क ह स स म च द स न आए और पद म उनम जम ह 
433,1,ल खत रह ड अरव द 
434,0,minus point film pace film slow audience start giggle twist film start finish power bind audience
435,1,performance ranveer shourie kalki koechlin notable
436,1,specializes playing independent character apart leak
437,1,four done character right color manner
438,1,dialogue payment clearly interesting
439,1,actually nature indian mythology similar fantasy science fiction
440,1,kriti sanon sushant singh rajput praised playing character saira shiva without hesitation
441,0, फ ल म द खत समय ह मन र जन क यह भरम ट टत ज त ह 
442,1,ankur viral played role zayed throughout film
443,1,बत र कल क र व भ द ए गए चर त र क आत मस त करत ह 
444,0,film one drawback story
445,0,wellintentioned film incident story expanded
446,0,darshan kumar lag behind supporting
447,1,want watch light smooth clean time pas film family feel free go
448,1,film gallop beginning climax manages keep audience engaged
449,0,similarly problem action sequence train
450,0,स क र नप ल पर और म हनत क ज न च ह ए थ 
451,1,film must watch teen young viewer
452,0,biggest drawback film
453,0,writer director fail trying make satirical film right issue
454,1,cinematography fantastic
455,0,randeep hooda seen working extra hard film
456,0,sadly ali zafars presence add nothing film
457,1,jolly llb came first audience much enjoyed arshad warsi
458,0,many place look synthetic according film craft
459,1,hrithik roshan take kaabil new level popularity
460,1,make wornout stocked scene meaningful impressive personal effort intervention
461,0, फ़ ल म श र ह न क क छ समय तक त आपक समझ ह नह आत क आख र ह क य रह ह 
462,0,time infallible bet anant neutralized
463,0,audience doesnt laugh
464,0,still anime get boundary
465,0,dialogue overpower scene lose meaning
466,0,sometimes make film boring
467,1,end language surroundings film praised
468,0,matter regret sonakshi sinhas effort trying live screen leaving noor ineffective
469,0,seeing image nawazuddin siddiquis fan disappointed see film
470,1,ajay devgan gave great performance
471,0, भ व क व यक त करन म प लक त सम र ट कह कह फ सल ह 
472,0,climax also feel inexplicably drawn
473,0,place entire film could determined
474,1,abhishek chaubey vishal bhardwaj maintained thrill film tight screenplay
475,0,reason visitor came see film screened ace theater friday could counted finger
476,1,katha pradhan film need pay attention honesty honesty writer director
477,1,look really helpless weaklooking scene
478,1,actress see growth dramatic scene hold
479,1,work film technical team commendable
480,0,audience understanding dialect may slight problem
481,1,song music film effective carry story forward
482,1,childfriendly response enhance film impact
483,0,soon film start understood vikram bhatt going show anything new
484,0,directed abhishek saxena limited resource budget fulu also limited creativity initial glow
485,1,choreography amazing come dance
486,1,आप प ए ग क च ह अनच ह उसक म स म यत और क मलत न आप क भ ग द य ह 
487,1,siddharth much trapped role young man hidden tea outrage inside carrom champion surya living slum colony
488,0,despite action technical effect film affect
489,0,neither film story ishq story two family feud prateeks dialogue delivery messed even listen dialogue heard properly
490,0,message film cannot conveyed effectively
491,1,nice see ravi kishan cast
492,0,freaky ali also production shortcoming
493,0,look also worked
494,1,rakesh omprakash mehra perfectly presented audience society
495,1,imrans work spectacular entire film
496,0, र जव र और म घ चटर ज क ल ड र ल म ल य ऐक ट ग क फ ल ड म द न ह अन ड ख ल ड स ब त ह ए ऊपर स ब खर स क र प ट और ध म रफ त र न म व क कमज र कर द य 
497,0,mithuns musicadorned film echo tight editing
498,0,later repetition start happening
499,1,ashutosh rana arbaaz khan shown seriousness
500,1,played character jalil restrained manner
501,0,rahul varuns dialogue power tie audience
502,0,इ टरवल तक फ़ ल म ब झ ल ह ज त ह 
503,1,day far surprise khan trio asking seven eight crore rupee film
504,1,tremendous attraction film song hi pairing chulbul rishi kapoor bulbul neetu singh
505,0,many track open onir viewer get confused going
506,0,writer director dabble hard work
507,1,सहय ग कल क र म र न त र य और र ह त र य सग भ इय क क स ट ग जबरदस त ह 
508,0,overall partition important film time seems onesided
509,1,music good
510,1,attempt choose new way showing telling mystery story
511,1,manish played character well
512,0,सलम न ख न क एक र ग र म स अब अध क नह ल भ त ह 
513,0,film sunil darshan gave successful film become ineffective due reason
514,1,situation every spice present mega budget film salman fond fan front class spice film
515,1,hindi film like cool shade bar audience stung aggressive sunlight
516,0,engaged rough movement
517,1,especially joo joo matin natural interesting
518,1,faraz haiders idea praiseworthy
519,0,many scene seem forcibly cast interval
520,0,tiger shroff unable move past twodimensional expression dramatic scene
521,1,budhia excellent example era biopic film
522,0,script revolving around salesman spice available entertainment box office seems script writer confusion finalizing climax film story last twenty minute seems unnecessarily pushed forward
523,1,diana penty understands happys attitude well
524,0,pausing little thinking theater pleasure slip fist like sand
525,1,work rajpal yadav also excellent
526,0,talking acting aadhar jain still need work hard
527,0,kk menon tested
528,0,extent weakness script become limit
529,1,sanjay mishra made kabir bhai interesting witty style
530,1,ajay devgans shivaay many characteristic action film seen hindi
531,1,played character vigorously
532,1,kedar shindes film start well
533,0,talking acting kunal rai kapoor worked hard would gained life character
534,0,detailing action sequence lead hammer ear
535,1,tanvi azmi portrayed brilliantly guddi
536,1,actor film also capable role
537,1,उनक ल क और पहन व पर अच छ म हनत क गई ह 
538,1,despite eyesight film played astonishing action stunt scene without resorting duplicity tried justice large extent role knowing abc acting
539,0,harm event theme
540,1,response rishi kapoors acting film done full justice role context russian actress raj kapoors film mera naam joker came seventy well fitted film
541,1,visual appeal story excellent incomparable
542,1,dialogue payoff angry performance better
543,1,alia bhatt emerging capable actress generation
544,0,filming item item film impressive
545,1,action director cast deserve congratulation appreciation film action choreography
546,1,film introduces different dimension woman indian society
547,0,single song film climb tongue
548,1,anurag kashyap successful keeping raman raghav 20 thriller human black
549,1,pawan kripalani used music accurately phobia
550,1,karan also lived test great extent
551,1,क ल इम क स म अपन श म दर शक स अपन भ ल क द श य म उनक जव ब नह 
552,1,feel like screaming theater
553,1, क मर वर क और एड ट ग ड प र टम ट न स क र नप ल क प र तरह स स थ न भ य ह 
554,1,banjo good effort
555,1,padmapriya coming first time hindi film
556,0,lead story different direction
557,1,filming song lyric scene show appropriate depth
558,1,taapsee pannu film blossomed film
559,0,look like hasty mix
560,0,biggest problem film idea script
561,0,sequence become ridiculous due best performance collaborator
562,1,pawan kripalani intertwined event beautifully
563,0,vikram bhatts horror film longer intimidating
564,0,always feel like something missing
565,0,however excessively song hampered film pace
566,0,script david film anything else could made good comedy film due weak direction scattered script twohour film tie audience till end
567,1,character performer gain sympathy audience
568,1,given rohans character exact color manner
569,0,इ टरवल क ब द द द ज क र ल म न र म त जव हर ऐस पर द पर छ ए क ब क क रद र ब न पड त गए और यह स कह न ऐस उलझ क अ त तक स भल नह प ई 
570,0,kinship language lag somewhere
571,0,strong scene could added instead unwanted song film film strongness would increased
572,0,nothing new special story
573,0,look whole film together truth le visible
574,0,harshavadhan dialogue somewhat weak
575,1,work got good support composer sandeep chauta
576,0,pace story slow interval
577,1,let screenplay inch cumbersome
578,0,case name khan
579,1,glad know
580,0,unfortunate get influenced rahul gandhi politics getting medium
581,1,anurag many strength
582,0,film based aqeel sharib hashmi start panting completion
583,0,extremely sad phenomenon
584,1,striker beautiful balance ambience character
585,0,grammar behavioral mistake becoming common use hindi
586,1,special effort made film dialogue according character also clear
587,1,श हर ख ख न अपन प रचल त छव स अलग स ध रण क रद र म सहज ह 
588,0,film tie
589,1, ब ग ब क ब ट क र ल म स द प क जव ब नह 
590,1,john play kabirs character
591,1,faraz haider jokingly presented tension generation atmosphere war partition india pakistan idea peace peace
592,0,mudassar azizs lackluster direction apart lackluster dialogue make film stand seeing movie seems director forced pair lotuslike fool tara mohit unnecessarily lengthen story
593,1,poster boy entertaining film able stop watching
594,0, ड न फ ल म म व ल न बनकर रह गए
595,1,term performance piya bajpai presented juliets character screen
596,1,hard work film writer turn documentary subject interesting film
597,0,get much attention general audience screenplay
598,1,imtiaz ali made similar love love story
599,0,amrit sagar chopra unsuccessful trying laugh slightest topic
600,1, इसक प क ज ग ख बस रत रहत ह 
601,1,another powerful film aamir khan
602,0, उन द श य म नव नत नह ह 
603,1,panoramic beauty desert area abu dhabi captured cinematographer ayananka bose camera
604,1,director akshay rai created bengal background well
605,0,situation story sick helpless hero track disappoints audience came hall want entertainment
606,1,anushka sharma play arfas character well
607,0,lack action hurt lack
608,0,tried find argument something new film difficult spend time hall
609,0,gulzar unable impress despite specialty
610,0,song sadma starring kamal haasan sridevi film audience would relieved
611,0,attitude character film also clear
612,1,कम बजट म ड यर क टर न एक मज द र फ ल म बन ई ह स र फ एक र त क प र ट क कह न म स रभ न हर प त र स ब हतर न क म ल य ह इस सशक त न र द शन क कम ल ह कह ज सकत ह 
613,1,mirziya undoubtedly gorgeous beautiful
614,0,despite short story director tie audience film till end
615,1,metafer used beautifully many place
616,0,writerdirectors able show intensity relationship prevalent manner hindi film result film seems lack emotion
617,1,film seem good attractive concept subject
618,0,also lacking dialogue
619,0,opportunity missed problem imitating style vishal bhardwaj anurag kashyap yet properly established manish tiwari also forgotten simplicity depth debut film dil dosti etsetra
620,1,also film seen great performance akshay kumar bhumi pednekar
621,1,रव न ट डन क परफ र म स ल जव ब ह 
622,1,help technical team director kept film surroundings real
623,1,arpita also fit character
624,0,praveen weak portraying jai victim fragmented figure
625,0,unfortunately fewer scene account
626,1,director ashwini iyer tiwari filmed beautifully
627,1,start two mithun featured film
628,0,visuals weak performance actor even weaker
629,1,far celina made known audience sexy hot image got much footage first time career film entire film remained around selina much involved role sonam fond page three party
630,0,drama actress performance badly disappointing
631,0,यह फ ल म अपन उद द श य तक नह पह च प त 
632,1,show talent even limited scene
633,1,look natural every sense
634,0,ashu trikha use talent portray better subject
635,1,done full justice character
636,0,dialogue payoff angry performance better
637,1,फ़ ल म क स न म ट ग र फ कम ल क ह 
